Date,Year,Day_of_Week,Week_of_Year,Month,Month_Name,Period_Label,Resident_Population,Daily_Visitors_Overnight,Daily_Visitors_Day_Tripper,Daily_Visitors_Total,Access_Fee_Active,Access_Fee_EUR,Access_Fee_USD,Fee_Tier,Acqua_Alta_Flag,Major_Event_Flag,Major_Event_Name,CPI,Data_Source,Derivation_Method,Notes
2024-01-01,2024,Monday,1,1,January,2024_actual,48489,19239,16698,35937,N,,,,N,Y,New Year's Day,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-02,2024,Tuesday,1,1,January,2024_actual,48489,19039,16335,35374,N,,,,N,N,,67.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-03,2024,Wednesday,1,1,January,2024_actual,48489,19239,16698,35937,N,,,,N,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-04,2024,Thursday,1,1,January,2024_actual,48489,19840,17787,37627,N,,,,N,N,,72.2,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-05,2024,Friday,1,1,January,2024_actual,48489,21043,19965,41008,N,,,,N,N,,78.7,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-06,2024,Saturday,1,1,January,2024_actual,48489,22045,21780,43825,N,,,,N,N,,84.1,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-07,2024,Sunday,1,1,January,2024_actual,48489,20642,19239,39881,N,,,,N,N,,76.5,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-08,2024,Monday,2,1,January,2024_actual,48489,19239,16698,35937,N,,,,Y,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]","acqua_alta flag MODELLED (climatological window, no tide-gauge feed)"
2024-01-09,2024,Tuesday,2,1,January,2024_actual,48489,19039,16335,35374,N,,,,Y,N,,67.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]","acqua_alta flag MODELLED (climatological window, no tide-gauge feed)"
2024-01-10,2024,Wednesday,2,1,January,2024_actual,48489,19239,16698,35937,N,,,,Y,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]","acqua_alta flag MODELLED (climatological window, no tide-gauge feed)"
